Class, Description, MFN, MPN, Quantity
screws, plastic sleeves, Fischer Elektronik, KN1, 3
screws, metal sleeves, Fischer Elektronik, MN1, 1
screws, captive screw M 2.5 x 11, Fischer Elektronik, HS1, 4
mount, accessories for part front panels, Fischer Elektronik, VS1, 1
screw, M2.5 hex nut, , , 28
screw, M2.5 washer, , ,18
screw, M2.5 lock washer, , ,6
screw, M2.5 x 8 pan head screw, , ,24
screw, M2.5 x 10 pan head screw, , ,2
screw, M2.5 x 8 countersunk pan head screw, , ,2
screw, M3 x 8 pan head screw, , ,4
screw, M3 x 10 headless screw, , ,4
screw, M3 x 17 hex nut distance bolt, , ,4
screw, M3 washer, , ,4
cable, 20cm SMA male/SMA male, , , 2
cable, 20cm SMA male/BNC Jack 4-hole panel mount 12.7 x 12.7 mm, , ,6